type,lat,lon,activity_score,year,nightlights,ndbi
commercial,-1.9497789,30.0920086,1,2015,24.882708,0.05951469704160032
commercial,-1.9529084000000003,30.1026084,1,2015,19.501509,0.05951469704160032
yes,-1.9480811,30.091749,1,2015,24.882708,0.05951469704160032
disused,-1.9491051,30.0914164,1,2015,24.882708,0.05951469704160032
yes,-1.9531118,30.084207799999994,1,2015,19.444075,0.05951469704160032
yes,-1.9532238,30.0840617,1,2015,19.444075,0.05951469704160032
company,-1.9390773,30.0533578,1,2015,24.13766,0.05951469704160032
commercial,-1.952071,30.0797371,1,2015,17.64152,0.05951469704160032
commercial,-1.9550872,30.0811006,1,2015,15.596899,0.05951469704160032
commercial,-1.9549119,30.081030800000004,1,2015,15.596899,0.05951469704160032
restaurant,-1.9460418,30.1061248,1,2015,9.587131,0.05951469704160032
ngo,-1.9545678,30.0790881,1,2015,15.596899,0.05951469704160032
clinic,-1.9498275,30.0794748,1,2015,17.64152,0.05951469704160032
ngo,-1.9511503,30.07974039999999,1,2015,17.64152,0.05951469704160032
craft,-1.9493411000000005,30.08097,1,2015,17.64152,0.05951469704160032
commercial,-1.9466633,30.0772184,1,2015,22.9898,0.05951469704160032
restaurant,-1.9502353,30.0781417,1,2015,17.64152,0.05951469704160032
marketplace,-1.9595709,30.081513999999995,1,2015,13.7080765,0.05951469704160032
guest_house,-1.9475141,30.066908299999994,1,2015,40.423325,0.05951469704160032
atm,-1.9467524,30.0605344,1,2015,45.0858,0.05951469704160032
ngo,-1.9299048,30.17488489999999,1,2015,0.90740865,0.05951469704160032
place_of_worship,-1.8767614,30.1572416,1,2015,0.30093634,0.05951469704160032
school,-1.9325037999999992,30.0677884,1,2015,13.500924,0.05951469704160032
hotel,-1.9266823,30.097467200000004,1,2015,13.386457,0.05951469704160032
restaurant,-1.9458375,30.068817499999994,1,2015,40.423325,0.05951469704160032
dentist,-1.9469072,30.067258899999995,1,2015,40.423325,0.05951469704160032
guest_house,-1.9480509,30.0585774,1,2015,28.444098,0.05951469704160032
bicycle,-1.9407658,30.042552900000004,1,2015,22.349237,0.05951469704160032
restaurant,-1.9520922,30.0578131,1,2015,28.444098,0.05951469704160032
kindergarten,-1.9442354,30.092070300000003,1,2015,21.489737,0.05951469704160032
attraction,-1.9768665,30.0868435,1,2015,12.271873,0.05951469704160032
fuel,-1.9616841,30.111628600000003,1,2015,17.90505,0.05951469704160032
place_of_worship,-1.9873061,30.1015579,1,2015,6.183147,0.05951469704160032
place_of_worship,-1.987408,30.10168399999999,1,2015,6.183147,0.05951469704160032
school,-1.9876197,30.1024779,1,2015,6.183147,0.05951469704160032
place_of_worship,-1.9859128,30.0987794,1,2015,5.9814234,0.05951469704160032
restaurant,-1.9612048,30.0768159,1,2015,15.591029,0.05951469704160032
restaurant,-1.9252176000000003,30.0971228,1,2015,13.386457,0.05951469704160032
restaurant,-1.9252464,30.0971379,1,2015,13.386457,0.05951469704160032
convenience,-1.9407028000000004,30.1032182,1,2015,13.663076,0.05951469704160032
fitness_centre,-1.9322647,30.0973808,1,2015,12.671416,0.05951469704160032
restaurant,-1.9311962,30.1103374,1,2015,13.651771,0.05951469704160032
company,-1.9441776,30.128209500000004,1,2015,15.2438345,0.05951469704160032
social_centre,-1.9648831999999992,30.0627642,1,2015,20.325254,0.05951469704160032
restaurant,-1.9465596,30.0673169,1,2015,40.423325,0.05951469704160032
restaurant,-1.9603249,30.104518,1,2015,19.10818,0.05951469704160032
hotel,-1.955345,30.097641300000003,1,2015,24.753271,0.05951469704160032
restaurant,-1.9302713,30.064416200000004,1,2015,12.497031,0.05951469704160032
bar,-1.9344952,30.0787547,1,2015,21.976782,0.05951469704160032
massage,-1.94771,30.0930762,1,2015,24.882708,0.05951469704160032
cafe,-1.9477598,30.092829200000004,1,2015,24.882708,0.05951469704160032
car_repair,-1.9476146,30.092683900000004,1,2015,24.882708,0.05951469704160032
restaurant,-1.9436787,30.0587685,1,2015,39.92476,0.05951469704160032
hotel,-1.9896571,30.1007822,1,2015,4.190279,0.05951469704160032
hotel,-1.9591408,30.1124122,1,2015,27.79873,0.05951469704160032
hotel,-1.9594043000000003,30.112639299999994,1,2015,27.79873,0.05951469704160032
florist,-1.9375986,30.0657089,1,2015,10.948561,0.05951469704160032
diplomatic,-1.9395054,30.087258699999992,1,2015,20.363493,0.05951469704160032
guest_house,-1.9566273,30.1237932,1,2015,13.155675,0.05951469704160032
viewpoint,-1.9464856,30.052933800000005,1,2015,23.471342,0.05951469704160032
childcare,-1.9322660000000005,30.0557039,1,2015,12.018704,0.05951469704160032
hostel,-1.9628964,30.1083941,1,2015,18.030752,0.05951469704160032
restaurant,-1.9588177,30.105118,1,2015,23.709198,0.05951469704160032
hotel,-1.9581221,30.1046633,1,2015,19.10818,0.05951469704160032
