type,lat,lon,activity_score,nightlights,ndbi,avg_nightlights,avg_ndbi,econ_intensity_pc1,coverage_ratio,cluster_enhanced,cluster_label
office,-1.9406924999999995,30.0850214,1,,,0.0,0.0,-0.7078393979599457,6.794644751846222,0,Peri-urban Emerging
restaurant,-1.9569632000000001,30.1150529,1,,,0.0,0.0,-0.7078393979599457,0.7677083228166823,1,Peri-urban Emerging
bar,-1.9523359,30.057626000000003,1,26.987926636363635,0.07083753027650912,26.987926636363635,0.07083753027650912,1.481982258911106,1.5748247285184485,1,Peri-urban Emerging
office,-1.9572894999999997,30.104200800000005,1,,,0.0,0.0,-0.7078393979599457,2.428667753602363,1,Peri-urban Emerging
restaurant,-1.9503241,30.059873999999997,1,,,0.0,0.0,-0.7078393979599457,1.5748247285184485,1,Peri-urban Emerging
fuel,-1.9501193,30.0610079,1,47.12303636363636,-0.04523524482621815,47.12303636363636,-0.04523524482621815,1.2617151898734231,2.5738598029040247,1,Peri-urban Emerging
yes,-1.9460684,30.0902935,1,22.158777454545454,0.11897043509469095,22.158777454545454,0.11897043509469095,1.7575545305386013,3.3426708454407814,1,Peri-urban Emerging
fuel,-1.9781261,30.051216899999993,1,,,0.0,0.0,-0.7078393979599457,6.4972110696917085,0,Peri-urban Emerging
fuel,-1.9737514000000003,30.054462099999995,1,,,0.0,0.0,-0.7078393979599457,4.620463539005395,0,Peri-urban Emerging
bank,-1.9487149999999995,30.0613637,1,47.12303636363636,-0.20194348845076363,47.12303636363636,-0.20194348845076363,-0.4582639365956392,12.081070596390873,2,Peri-urban Emerging
car_wash,-1.9604056999999997,30.113527899999998,1,,,0.0,0.0,-0.7078393979599457,1.260426796421408,1,Peri-urban Emerging
restaurant,-1.9593150000000004,30.1087845,1,35.08419463636364,0.09055807827650912,35.08419463636364,0.09055807827650912,2.1221224089051045,1.864070080935801,1,Peri-urban Emerging
bank,-1.9739389999999997,30.0543119,1,,,0.0,0.0,-0.7078393979599457,4.620463539005395,0,Peri-urban Emerging
restaurant,-1.9471406999999996,30.0928711,1,,,0.0,0.0,-0.7078393979599457,3.3426708454407814,1,Peri-urban Emerging
bar,-1.9739015,30.054247500000002,1,,,0.0,0.0,-0.7078393979599457,4.620463539005395,0,Peri-urban Emerging
restaurant,-1.9594946000000002,30.1086182,1,,,0.0,0.0,-0.7078393979599457,1.864070080935801,1,Peri-urban Emerging
cafe,-1.9509364999999999,30.093198400000002,1,,,0.0,0.0,-0.7078393979599457,0.45047957507594366,1,Peri-urban Emerging
bakery,-1.9736174,30.054596199999995,1,15.934954727272727,0.09531125936741822,15.934954727272727,0.09531125936741822,1.1721740515553296,4.620463539005395,0,Peri-urban Emerging
fuel,-1.97247,30.055787099999993,1,,,0.0,0.0,-0.7078393979599457,2.8870472601863164,1,Peri-urban Emerging
bus_station,-1.9613106000000002,30.111845299999995,1,,,0.0,0.0,-0.7078393979599457,1.260426796421408,1,Peri-urban Emerging
hotel,-1.9585286999999996,30.111024299999993,1,,,0.0,0.0,-0.7078393979599457,0.7206687583555845,1,Peri-urban Emerging
cafe,-1.9508422,30.0929962,1,37.546713363636364,0.2190722242765091,37.546713363636364,0.2190722242765091,3.661520709127557,0.45047957507594366,1,Peri-urban Emerging
pharmacy,-1.9509600000000002,30.0929105,1,,,0.0,0.0,-0.7078393979599457,0.45047957507594366,1,Peri-urban Emerging
bank,-1.9508346,30.0931823,1,37.546713363636364,0.2190722242765091,37.546713363636364,0.2190722242765091,3.661520709127557,0.45047957507594366,1,Peri-urban Emerging
fast_food,-1.9534138,30.095101300000003,1,54.77353599999999,-0.043927082241672695,54.77353599999999,-0.043927082241672695,1.67643899414613,1.4964306810309498,1,Peri-urban Emerging
bank,-1.9477071,30.061682900000005,1,47.12303636363636,-0.20194348845076363,47.12303636363636,-0.20194348845076363,-0.4582639365956392,12.081070596390873,2,Peri-urban Emerging
bar,-1.9693203,30.057310500000003,1,22.45738640909091,0.18409794700378185,22.45738640909091,0.18409794700378185,2.487999889895554,1.99132646971167,1,Peri-urban Emerging
